Time,F2,T1,CA1,F1,Fc1,Tc1,V,CA,T,Tc_out
0,1,335,2,1,6,325,1,0.1983,385.69,352.59
0.1,1,335,2,1,6,325,1,0.198270522939193,385.692769253428,352.589226515833
0.2,1,335,2,1,6,325,1,0.198249130039902,385.694079234355,352.588992838926
0.3,1,335,2,1,6,325,1,0.198238678539726,385.694073196592,352.588694811517
0.4,1,335,2,1,6,325,1,0.198238865919161,385.693101442348,352.588163250012
0.5,1,335,2,1,6,325,1,0.198247152247428,385.691615586243,352.587449039812
0.6,1,335,2,1,6,325,1,0.1982598785985,385.690057839824,352.586690552968
0.7,1,335,2,1,6,325,1,0.198273324670616,385.68877474538,352.586031038281
0.8,1,335,2,1,6,325,1,0.198284511375959,385.687969788758,352.585572135045
0.9,1,335,2,1,6,325,1,0.198291648769492,385.68769640951,352.585355446081
1,1,335,2,1,6,325,1,0.19829422476077,385.687883565717,352.585364939354
1.00000000000001,1,335,2,1,6.6,325,1,0.19829422476077,385.687883565717,352.585364939354
1.06732666853462,1,335,2,1,6.6,325,1,0.198891710185664,385.374095741235,351.360119390446
1.13465333706924,1,335,2,1,6.6,325,1,0.201588460696065,384.781844111238,350.943412905522
1.23465333706924,1,335,2,1,6.6,325,1,0.208761335341378,383.748749111941,350.502418503067
1.33465333706924,1,335,2,1,6.6,325,1,0.217904854959605,382.772383503737,350.059580741467
1.43465333706924,1,335,2,1,6.6,325,1,0.227139954270316,382.00062571295,349.688479852566
1.53465333706924,1,335,2,1,6.6,325,1,0.235008535730124,381.513232188398,349.431496255162
1.63465333706924,1,335,2,1,6.6,325,1,0.240458036263774,381.339847434027,349.30764661097
1.73465333706924,1,335,2,1,6.6,325,1,0.242857644934275,381.469417873335,349.317650709648
1.83465333706924,1,335,2,1,6.6,325,1,0.242057743855661,381.852420368,349.445662093388
1.93465333706924,1,335,2,1,6.6,325,1,0.238456283019108,382.401412818876,349.659450823231
2.03465333706924,1,335,2,1,6.6,325,1,0.232994254707199,382.998165723397,349.912198181597
2.13465333706924,1,335,2,1,6.6,325,1,0.226990552232117,383.514843657351,350.149397322049
2.23465333706924,1,335,2,1,6.6,325,1,0.221799673937936,383.847680331547,350.321765657437
2.33465333706924,1,335,2,1,6.6,325,1,0.218422014069254,383.947666557606,350.399482995638
2.43465333706924,1,335,2,1,6.6,325,1,0.217269862681712,383.829570537623,350.379632391275
2.53465333706924,1,335,2,1,6.6,325,1,0.218182735724838,383.555818101379,350.282735070913
2.63465333706924,1,335,2,1,6.6,325,1,0.220612748450957,383.208856957939,350.142044129563
2.73465333706924,1,335,2,1,6.6,325,1,0.22384281132853,382.867365987389,349.992438235305
2.83465333706924,1,335,2,1,6.6,325,1,0.227156890565975,382.592471977698,349.863009695179
2.93465333706924,1,335,2,1,6.6,325,1,0.229949849242129,382.422418684153,349.773638085323
3.03465333706924,1,335,2,1,6.6,325,1,0.231793507879076,382.372027810309,349.734142788673
3.13465333706924,1,335,2,1,6.6,325,1,0.232474325113626,382.434446932841,349.744728849193
3.23465333706924,1,335,2,1,6.6,325,1,0.232006632320343,382.584430918515,349.797160020075
3.33465333706924,1,335,2,1,6.6,325,1,0.230615773326786,382.783513687249,349.876680215502
3.43465333706924,1,335,2,1,6.6,325,1,0.228684140488772,382.987464282523,349.964881286172
3.53465333706924,1,335,2,1,6.6,325,1,0.226662673456478,383.155380457475,350.04341604902
3.63465333706924,1,335,2,1,6.6,325,1,0.224966925006884,383.258300330132,350.09785440464
3.73465333706924,1,335,2,1,6.6,325,1,0.223888488135817,383.284561216889,350.120542146077
3.83465333706924,1,335,2,1,6.6,325,1,0.223548272919782,383.240176165898,350.1115164151
3.93465333706924,1,335,2,1,6.6,325,1,0.223899360205284,383.144659080171,350.077336774081
4.03465333706924,1,335,2,1,6.6,325,1,0.224767589521926,383.024432295772,350.028535130587
4.13465333706924,1,335,2,1,6.6,325,1,0.225909454191787,382.906211920162,349.976718345136
4.23465333706924,1,335,2,1,6.6,325,1,0.227069736783625,382.811919402215,349.93213046998
4.33465333706924,1,335,2,1,6.6,325,1,0.228028740284892,382.755631281836,349.902039364726
4.43465333706924,1,335,2,1,6.6,325,1,0.22863501371588,382.742437694172,349.889971885699
4.53465333706924,1,335,2,1,6.6,325,1,0.228822427266453,382.7688788946,349.895676198876
4.63465333706924,1,335,2,1,6.6,325,1,0.228611480832453,382.824642625698,349.915671753933
4.73465333706924,1,335,2,1,6.6,325,1,0.228095635584754,382.895209922528,349.94425528917
4.83465333706924,1,335,2,1,6.6,325,1,0.22741532250529,382.965034787402,349.974802991951
4.93465333706924,1,335,2,1,6.6,325,1,0.226724912683158,383.020681699047,350.001144495059
5.03465333706924,1,335,2,1,6.6,325,1,0.226160022871107,383.053267273166,350.018733885265
5.13465333706924,1,335,2,1,6.6,325,1,0.225812569294727,383.059685640936,350.025367086012
5.23465333706924,1,335,2,1,6.6,325,1,0.225718489586487,383.042438903985,350.021314002945
5.33465333706924,1,335,2,1,6.6,325,1,0.225859071580093,383.008296751524,350.008903752815
5.43465333706924,1,335,2,1,6.6,325,1,0.226173184032941,382.966287814668,349.991743734827
5.53465333706924,1,335,2,1,6.6,325,1,0.226575718063338,382.925587626219,349.97381232386
5.63465333706924,1,335,2,1,6.6,325,1,0.226977381197426,382.893752365233,349.958638769223
5.73465333706924,1,335,2,1,6.6,325,1,0.22730196959891,382.875558334112,349.948710331558
5.83465333706924,1,335,2,1,6.6,325,1,0.227498594980125,382.872532110941,349.945167773222
